position,trackname,artist,streams,url,date
1,Shape of You,Ed Sheeran,1467892,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/9/2017
1,Bank Account,21 Savage,1176086,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/5/2017
1,rockstar,Post Malone,2072302,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/29/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1823391,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/27/2017
1,Despacito - Remix,Luis Fonsi,1480367,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/3/2017
1,rockstar,Post Malone,2039320,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/14/2017
1,rockstar,Post Malone,2722183,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,9/20/2017
1,Wild Thoughts,DJ Khaled,1230131,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi,7/26/2017
1,rockstar,Post Malone,1841865,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/28/2017
1,rockstar,Post Malone,2315885,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/28/2017
1,Shape of You,Ed Sheeran,1368068,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/23/2017
1,1-800-273-8255,Logic,1380050,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,9/10/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1670271,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/13/2017
1,rockstar,Post Malone,2695933,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,9/19/2017
1,Shape of You,Ed Sheeran,1443631,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/25/2017
1,Despacito - Remix,Luis Fonsi,1638831,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,6/19/2017
1,HUMBLE.,Kendrick Lamar,2212322,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/26/2017
